id,host_id,host_is_superhost,host_listings_count,property_type,room_type,price,minimum_nights,number_of_reviews,review_scores_rating,reviews_per_month
167168,214390,TRUE,4,Entire serviced apartment,Entire home/apt,$338.00,4,12,4.83,0.15
170523,813513,FALSE,2,Entire rental unit,Entire home/apt,$49.00,5,182,4.75,1.58
175509,848085,FALSE,5,Room in bed and breakfast,Hotel room,$135.00,1,33,4.55,0.46
184374,716234,FALSE,3,Room in bed and breakfast,Hotel room,$120.00,2,71,4.23,0.59
202466,334601,FALSE,4,Entire rental unit,Entire home/apt,$111.00,2,153,4.32,1.29
208801,1028258,FALSE,2,Entire rental unit,Entire home/apt,$60.00,3,456,4.82,3.94
217591,1123859,FALSE,1,Entire rental unit,Entire home/apt,$180.00,1,38,4.92,0.32
218393,813513,FALSE,2,Entire rental unit,Entire home/apt,$39.00,5,196,4.75,1.64
220238,693554,TRUE,2,Entire rental unit,Entire home/apt,$153.00,3,213,4.99,1.89
234465,1227993,FALSE,3,Entire rental unit,Entire home/apt,$110.00,3,42,4.75,0.86
236585,1240373,TRUE,1,Entire rental unit,Entire home/apt,$108.00,3,169,4.69,1.5
238362,564594,TRUE,6,Room in bed and breakfast,Hotel room,$66.00,1,81,4.55,1.08
238374,564594,TRUE,6,Private room in villa,Private room,$66.00,1,100,4.74,1.36
238380,564594,TRUE,6,Private room in villa,Private room,$66.00,1,64,4.58,0.59
238383,564594,TRUE,6,Private room in villa,Private room,$66.00,1,86,4.8,1.29
238960,283131,FALSE,6,Entire rental unit,Entire home/apt,$850.00,3,129,4.9,1.35
242296,1271580,TRUE,1,Entire rental unit,Entire home/apt,$98.00,3,260,4.84,2.3
247270,1296429,TRUE,2,Entire rental unit,Entire home/apt,$105.00,4,154,4.8,1.54
256874,1351366,FALSE,2,Private room in bed and breakfast,Private room,$106.00,3,25,4.68,0.29
260204,1365288,FALSE,2,Entire rental unit,Entire home/apt,$85.00,5,155,4.64,1.33
260487,1366623,TRUE,2,Entire rental unit,Entire home/apt,$130.00,1,308,4.94,2.72
261432,1365288,FALSE,2,Entire rental unit,Entire home/apt,$58.00,5,143,4.55,1.21
261640,1351366,FALSE,2,Private room in bed and breakfast,Private room,$98.00,3,54,4.75,0.65
263796,1384217,FALSE,7,Entire rental unit,Entire home/apt,$230.00,2,3,5,0.04
265406,703872,TRUE,6,Private room in condominium (condo),Private room,$61.00,1,461,4.56,4.28
268865,1408761,TRUE,6,Entire rental unit,Entire home/apt,$211.00,3,190,4.94,1.74
272585,1426634,FALSE,1,Entire rental unit,Entire home/apt,$64.00,2,111,4.3,0.99
275264,1438903,FALSE,25,Entire rental unit,Entire home/apt,$148.00,2,46,4.79,0.42
284305,1480780,TRUE,1,Entire rental unit,Entire home/apt,$80.00,2,268,4.91,2.5
286350,1490179,FALSE,1,Entire rental unit,Entire home/apt,$100.00,2,19,4.89,0.23
286388,1490179,FALSE,1,Entire rental unit,Entire home/apt,$80.00,2,67,4.86,0.67
286939,1490179,FALSE,1,Entire rental unit,Entire home/apt,$100.00,2,35,5,0.36
288778,1420192,FALSE,1,Private room in rental unit,Private room,$54.00,2,85,4.68,0.82
289477,377929,TRUE,5,Entire rental unit,Entire home/apt,$96.00,2,34,4.82,0.34
293520,1517643,FALSE,2,Entire rental unit,Entire home/apt,$130.00,7,71,4.77,0.86
297137,1509668,FALSE,5,Entire rental unit,Entire home/apt,$95.00,1,726,4.49,6.4
297417,1533590,FALSE,3,Entire rental unit,Entire home/apt,$88.00,2,11,4.56,0.11
298479,1514413,FALSE,9,Private room in bed and breakfast,Private room,$34.00,1,216,3.87,1.9
299936,1545612,FALSE,3,Entire rental unit,Entire home/apt,$600.00,2,3,5,0.03
303040,1560575,TRUE,2,Private room in bed and breakfast,Private room,$93.00,1,306,4.88,2.94
303046,1560575,TRUE,2,Private room in bed and breakfast,Private room,$93.00,1,230,4.92,2.01
309411,1275479,TRUE,4,Entire rental unit,Entire home/apt,$120.00,3,340,4.89,3.59
